"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000022840",2666.01474947019,-0.275906498696441,0.0816918796655488,-3.37740421478877,0.00073173433144814,0.00804077540177619
"ENSG00000022976",178.389912514507,0.19330831239673,0.164518958213329,1.17499110434477,0.239998274743746,0.535012765292536
"ENSG00000023041",674.815824730869,-0.191173288001769,0.0824403437159798,-2.31892880821059,0.0203988967947579,0.10625842818592
"ENSG00000023171",81.8686477021067,0.65720385026299,0.429699281508566,1.52945066129902,0.126152761460029,0.36626756079669
"ENSG00000023191",4815.01311090234,-0.141315516464505,0.182117909034189,-0.775956177038996,0.437774861339754,0.726131030480494
"ENSG00000023228",1603.89220501017,-0.12310709846124,0.0841160041005232,-1.46353954610255,0.143319800825878,0.396174066457496
"ENSG00000023287",2803.55740305188,-0.126272737073387,0.129581306317419,-0.974467233445488,0.329824600760473,0.634469345081493
"ENSG00000023318",1403.04263448529,-0.228883145458139,0.0886333670235624,-2.58235868888172,0.00981275388878342,0.0618572241486045
"ENSG00000023330",959.525039660713,0.269023754312131,0.160842837644005,1.67258771514318,0.0944084869670763,0.306193798493112
"ENSG00000023445",56.1979356230764,-0.591215235817326,0.384918272464515,-1.53595003955503,0.124550634078897,0.3635385593052
"ENSG00000023516",1874.06322952382,0.0509187923067539,0.09617445732134,0.529441950856276,0.596498903243601,0.832407161829681
"ENSG00000023572",91.1154506614007,-0.265696409474902,0.21830272635442,-1.21710073855668,0.223565889746099,0.513611872245761
"ENSG00000023608",233.118989527976,-0.731452025912959,0.221598862534774,-3.30079323307979,0.000964119061384984,0.0100500259120321
"ENSG00000023697",480.842228667348,-0.31813902694842,0.104945437162491,-3.03147078663205,0.0024336546875097,0.0211363959605049
"ENSG00000023734",2022.23778384942,-0.274431996291894,0.120336901866686,-2.28053067708125,0.0225762334947344,0.11447344590655
"ENSG00000023839",15.0403739454375,-0.375349247962484,0.4980155477311,-0.753689818867163,0.451035496729982,0.736090766437199
"ENSG00000023892",5.36488857087781,0.362680387431809,0.719649072417174,0.503968394225299,0.614283587112479,0.842687820565687
"ENSG00000023902",704.723949756691,-0.414954294094898,0.162216565196126,-2.55802663305812,0.0105268029702765,0.065287921738264
"ENSG00000023909",1927.66508304619,-1.24617798500795,0.200042822759993,-6.22955609111296,4.67758663995811e-10,2.90218620397675e-08
"ENSG00000024048",1335.12077962606,-0.132494670675414,0.0968647904051786,-1.36783107795101,0.171364957395307,0.439699194000473
"ENSG00000024422",11726.6687879312,-0.174678732145136,0.116810837279354,-1.49539833985942,0.134810513561959,0.381380711149595
"ENSG00000024526",16.2226876547811,0.280746063159504,0.45438362767205,0.617861309391482,0.536666765092706,0.795045713985178
"ENSG00000024862",225.356163755606,-0.173155259072603,0.190383322461463,-0.909508547460362,0.363081748053282,0.664641005302749
"ENSG00000025039",6.83887504596506,-0.751117566872037,0.637563601953767,-1.1781060972902,0.238754311576941,0.534034586876202
"ENSG00000025156",250.833452342326,0.239958479436076,0.129623940083112,1.85118952010116,0.0641422929023061,0.236877645192429
"ENSG00000025293",1475.84924318139,0.113972188784774,0.0946374093311631,1.2043037694106,0.228472190313265,0.520592462822968
"ENSG00000025423",169.196647086355,2.1844028266521,0.506986234065238,4.30860382369083,1.64288351142841e-05,0.000322471512205293
"ENSG00000025434",396.876290952488,-0.162099797903844,0.151634772526139,-1.06901468049422,0.285063054406145,0.58607437093465
"ENSG00000025708",144.690809653753,-1.27464088313647,0.312557860205458,-4.07809575577012,4.54060665057018e-05,0.000765229494775628
"ENSG00000025770",332.456828511989,0.0889345163651812,0.175210683649834,0.507586150071308,0.611743605559069,0.841275155754794
"ENSG00000025772",764.275177566605,0.516957905670057,0.226779527901222,2.27956160970239,0.0226337020393268,0.114732730790846
"ENSG00000025796",3327.19809899645,0.0518862984864151,0.156584033109307,0.331363916589087,0.740369617110666,0.909457001206681
